TF_ID	Family_ID	TSource_ID	Motif_ID	MSource_ID	DBID	TF_Name	TF_Species	TF_Status	Family_Name	DBDs	DBD_Count	Cutoff	DBID	Motif_Type	MSource_Identifier	MSource_Type	MSource_Author	MSource_Year	PMID	MSource_Version	SR_Model	SR_NoThreshold	TfSource_Name	TfSource_URL	TfSource_Year	TfSource_Month	TfSource_Day
T010910_3.00	F024_3.00	TS12_3.00	M02965_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_6	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02966_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02967_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02968_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02969_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_4	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02970_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_5	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02971_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_6	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02972_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_1	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02973_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_2	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M02974_3.00	MS36_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	Tcfap2a_3	SELEX	Jolma2013	SELEX	Jolma	2013	23332764	January 2013	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04250_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2B_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04251_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2B_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04252_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_eDBD_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04253_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2C_eDBD_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04254_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2E_FL_HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04255_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2E_FL_HT-SELEX_2	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04256_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2E_FL_Methyl-HT-SELEX_1	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04257_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2E_FL_Methyl-HT-SELEX_2	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04258_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_FL_HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M04259_3.00	MS66_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	TFAP2A_FL_Methyl-HT-SELEX	SELEX	Yin2017	SELEX	Yin	2017	28473536	April 2017	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M08241_3.00	MS19_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	HeLa-S3_AP2GAMMA_UCD	ChIP-seq	ENCODE	ChIP-seq	Gerstein	2012	22955619	January 2011	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M08242_3.00	MS19_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	HeLa-S3_AP2ALPHA_UCD	ChIP-seq	ENCODE	ChIP-seq	Gerstein	2012	22955619	January 2011	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M08636_3.00	MS34_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	MA0814.3	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M08637_3.00	MS34_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	MA0003.5	ChIP-seq	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09824_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2B_HUMAN.H11MO.0.B	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09825_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2C_HUMAN.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09826_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2A_HUMAN.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09827_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2A_MOUSE.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09828_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2B_MOUSE.H11MO.0.B	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M09829_3.00	MS30_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	AP2C_MOUSE.H11MO.0.A	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10574_3.00	MS31_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	MCF7-TFAP2C_GSE21234	Misc	HOMER	Misc	Heinz	2010	20513432	January 2016	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10873_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2BETA_Q3	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10874_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2GAMMA_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10875_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2GAMMA_Q4	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10876_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2GAMMA_Q5_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10877_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2GAMMA_Q5	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10878_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2ALPHA_01	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10879_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2ALPHA_02	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10880_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2ALPHA_03	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10881_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2ALPHA_Q4	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10882_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$AP2ALPHA_Q6	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T010910_3.00	F024_3.00	TS12_3.00	M10883_3.00	MS63_3.00	ENSMUSG00000042596	Tfap2d	Mus_musculus	I	AP-2	TF_AP-2	1	0.7	V$TFAP2A_09	Transfac	Transfac	Transfac	Matys	2006	16381825	7.0	SequenceIdentity	True	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014641_3.00	F028_3.00	TS12_3.00	M01741_3.00	MS68_3.00	ENSMUSG00000004661	Arid3b	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH4425	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014642_3.00	F028_3.00	TS12_3.00	M00170_3.00	MS02_3.00	ENSMUSG00000019564	Arid3a	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014642_3.00	F028_3.00	TS12_3.00	M01742_3.00	MS68_3.00	ENSMUSG00000019564	Arid3a	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5169	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014642_3.00	F028_3.00	TS12_3.00	M02733_3.00	MS34_3.00	ENSMUSG00000019564	Arid3a	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	MA0151.1	SELEX	JASPAR	JASPAR	Mathelier	2014	24194598	August 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014643_3.00	F028_3.00	TS12_3.00	M01743_3.00	MS68_3.00	ENSMUSG00000019947	Arid5b	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH4426	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014643_3.00	F028_3.00	TS12_3.00	M09831_3.00	MS30_3.00	ENSMUSG00000019947	Arid5b	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	ARI5B_MOUSE.H11MO.0.C	Misc	HocoMoco	Misc	Kulakovskiy	2013	23175603	July 2014	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014644_3.00	F028_3.00	TS12_3.00	M00171_3.00	MS02_3.00	ENSMUSG00000037447	Arid5a	Mus_musculus	D	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid5a_3770	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014645_3.00	F028_3.00	TS12_3.00	M08479_3.00	MS20_3.00	ENSMUSG00000042207	Kdm5b	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	ENCSR000AQA_GGCGGCRGCGGCRGM	ChIP-seq	FactorBook	ChIP-seq	Pratt	2022	34755879	December 2023	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014646_3.00	F028_3.00	TS12_3.00	M08479_3.00	MS20_3.00	ENSMUSG00000056673	Kdm5d	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	ENCSR000AQA_GGCGGCRGCGGCRGM	ChIP-seq	FactorBook	ChIP-seq	Pratt	2022	34755879	December 2023	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M00170_3.00	MS02_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	Arid3a_3875	PBM	Badis09	PBM	Badis	2009	19443739	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M01737_3.00	MS68_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5117	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M01738_3.00	MS68_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5168	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M01740_3.00	MS68_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH9214	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M01741_3.00	MS68_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH4425	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
T014647_3.00	F028_3.00	TS12_3.00	M01742_3.00	MS68_3.00	ENSMUSG00000066224	Arid3c	Mus_musculus	I	ARID/BRIGHT	ARID	1	0.42223096627141105	pTH5169	PBM	Zoo_01	PBM	Weirauch	2014	25215497	NULL	SimilarityRegression	False	Ensembl	http://www.ensembl.org/	2018	Dec	8
